grade,gene,Gene description,Phenotype description
68,MTX2,metaxin 2 ,
68,ZPR1,ZPR1 zinc finger ,
68,LIMK1,LIM domain kinase 1 ,Williams syndrome
68,CARD14,caspase recruitment domain family member 14 ,Pityriasis rubra pilaris
68,PCDHA4,protocadherin alpha 4 ,
68,SLC35E3,solute carrier family 35 member E3 ,
68,LEF1,lymphoid enhancer binding factor 1 ,LYMPHOID ENHANCER-BINDING FACTOR 1
68,RAB14,"""RAB14"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]"""
68,HAGH,hydroxyacylglutathione hydrolase ,HYDROXYACYL GLUTATHIONE HYDROLASE DEFICIENCY
68,ZNF649,zinc finger protein 649 ,
68,FAM204A,family with sequence similarity 204 member A ,
68,SLC6A7,solute carrier family 6 member 7 ,
68,PKN3,protein kinase N3 ,
68,SURF6,surfeit 6 ,
68,NYAP2,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 ,
68,MXRA7,matrix remodeling associated 7 ,
68,EPB41L1,erythrocyte membrane protein band 4.1 like 1 ,Autosomal dominant non-syndromic intellectual disability
68,GLP2R,glucagon like peptide 2 receptor ,
68,GAS7,growth arrest specific 7 ,
68,,novel protein,
68,MPP2,membrane palmitoylated protein 2 ,
68,PCDHA12,protocadherin alpha 12 ,
68,ZCCHC24,zinc finger CCHC-type containing 24 ,
68,NPLOC4,"""NPL4 homolog"," ubiquitin recognition factor [Source:HGNC Symbol;Acc:HGNC:18261]"""
68,THNSL1,threonine synthase like 1 ,
68,BBS4,Bardet-Biedl syndrome 4 ,Bardet-Biedl syndrome
68,MAP2K7,mitogen-activated protein kinase kinase 7 ,
68,ERMP1,endoplasmic reticulum metallopeptidase 1 ,
68,ATAD2B,ATPase family AAA domain containing 2B ,
68,PATJ,PATJ crumbs cell polarity complex component ,
68,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A ,
68,SDK2,sidekick cell adhesion molecule 2 ,
68,DIP2C,disco interacting protein 2 homolog C ,
68,NECAP2,NECAP endocytosis associated 2 ,
68,MXD1,MAX dimerization protein 1 ,
68,HDX,highly divergent homeobox ,
68,HBS1L,HBS1 like translational GTPase ,
68,PPM1F,"""protein phosphatase"," Mg2+/Mn2+ dependent 1F [Source:HGNC Symbol;Acc:HGNC:19388]"""
68,LY6K,lymphocyte antigen 6 family member K ,
68,EIF3D,eukaryotic translation initiation factor 3 subunit D ,
68,NFE2L1,"""nuclear factor"," erythroid 2 like 1 [Source:HGNC Symbol;Acc:HGNC:7781]"""
68,WDFY1,WD repeat and FYVE domain containing 1 ,
68,MREG,melanoregulin ,
68,JAKMIP3,Janus kinase and microtubule interacting protein 3 ,
68,ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A ,
68,ATF7IP,activating transcription factor 7 interacting protein ,
68,ARHGAP1,Rho GTPase activating protein 1 ,
68,CX3CL1,C-X3-C motif chemokine ligand 1 ,
68,PSME3,proteasome activator subunit 3 ,
68,ZNF471,zinc finger protein 471 ,
68,ARMC12,armadillo repeat containing 12 ,
68,ZKSCAN8,zinc finger with KRAB and SCAN domains 8 ,
68,RNF8,ring finger protein 8 ,
68,LPIN3,lipin 3 ,
68,KLK1,kallikrein 1 ,KALLIKREIN DECREASED URINARY ACTIVITY OF
68,CBWD5,COBW domain containing 5 ,
68,RAD51D,RAD51 paralog D ,Hereditary breast and ovarian cancer syndrome
68,TRIM40,tripartite motif containing 40 ,
68,PCDHAC2,"""protocadherin alpha subfamily C"," 2 [Source:HGNC Symbol;Acc:HGNC:8677]"""
68,AFG1L,AFG1 like ATPase ,
68,SECISBP2L,SECIS binding protein 2 like ,
68,WDR20,WD repeat domain 20 ,
68,SCUBE1,"""signal peptide"," CUB domain and EGF like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13441]"""
68,CLDN4,claudin 4 ,
68,DCLK1,doublecortin like kinase 1 ,
68,CACFD1,calcium channel flower domain containing 1 ,
68,PHF13,PHD finger protein 13 ,
68,BPNT1,"""3'(2')"," 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]"""
68,SLC8A3,solute carrier family 8 member A3 ,
68,TPRG1L,tumor protein p63 regulated 1 like ,
68,CTDSPL2,CTD small phosphatase like 2 ,
68,MOGAT2,monoacylglycerol O-acyltransferase 2 ,
68,RACK1,receptor for activated C kinase 1 ,
68,CYTH4,cytohesin 4 ,
68,VKORC1,vitamin K epoxide reductase complex subunit 1 ,Hereditary combined deficiency of vitamin K-dependent clotting factors
68,SLC9A8,solute carrier family 9 member A8 ,
68,PCSK1,proprotein convertase subtilisin/kexin type 1 ,Obesity due to prohormone convertase-I deficiency
68,MYT1L,myelin transcription factor 1 like ,Autosomal dominant non-syndromic intellectual disability
68,GFAP,glial fibrillary acidic protein ,Alexander disease type I
68,SNIP1,Smad nuclear interacting protein 1 ,Psychomotor retardation epilepsy and craniofacial dysmorphism
68,ADAM19,ADAM metallopeptidase domain 19 ,
68,MDH1B,malate dehydrogenase 1B ,
68,TRABD2B,TraB domain containing 2B ,
68,AQP12B,aquaporin 12B ,
68,CALB1,calbindin 1 ,
68,CACUL1,CDK2 associated cullin domain 1 ,
68,NIPAL3,NIPA like domain containing 3 ,
68,SPOUT1,SPOUT domain containing methyltransferase 1 ,
68,BMP8B,bone morphogenetic protein 8b ,
68,MYO10,myosin X ,
68,CEP170B,centrosomal protein 170B ,
68,STK35,serine/threonine kinase 35 ,
68,FUT4,fucosyltransferase 4 ,
68,SPTBN2,"""spectrin beta"," non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]"""
68,KLF3,Kruppel like factor 3 ,
68,LILRA5,leukocyte immunoglobulin like receptor A5 ,
68,CCL22,C-C motif chemokine ligand 22 ,
68,FLII,FLII actin remodeling protein ,SMITH-MAGENIS SYNDROME
68,RNASE7,ribonuclease A family member 7 ,
68,,novel tripartite motif-containing 16 (TRIM16) and CMT1A duplicated region transcript 1 (CDRT1) protein,
68,FLOT2,flotillin 2 ,
68,MAPKBP1,mitogen-activated protein kinase binding protein 1 ,Juvenile nephronophthisis
67,FOXM1,forkhead box M1 ,
67,,novel protein,
67,SEMA5A,semaphorin 5A ,Monosomy 5p
67,PDE2A,phosphodiesterase 2A ,
67,PCDHA13,protocadherin alpha 13 ,
67,MDM4,MDM4 regulator of p53 ,BONE MARROW FAILURE SYNDROME 6
67,SEMA6B,semaphorin 6B ,EPILEPSY PROGRESSIVE MYOCLONIC 11
67,TNF,tumor necrosis factor ,NON RARE IN EUROPE: Psoriatic arthritis
67,TEAD1,TEA domain transcription factor 1 ,Helicoid peripapillary chorioretinal degeneration
67,C1GALT1,"""core 1 synthase"," glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24337]"""
67,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1 ,
67,SULF2,sulfatase 2 ,
67,KLF14,Kruppel like factor 14 ,
67,KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4 ,
67,FOXL2NB,FOXL2 neighbor ,
67,HUNK,hormonally up-regulated Neu-associated kinase ,
67,KIF13B,kinesin family member 13B ,
67,GGT6,gamma-glutamyltransferase 6 ,
67,ZNF662,zinc finger protein 662 ,
67,ESRP2,epithelial splicing regulatory protein 2 ,
67,STAC,SH3 and cysteine rich domain ,
67,MTMR4,myotubularin related protein 4 ,
67,TTC7B,tetratricopeptide repeat domain 7B ,
67,HOXB4,homeobox B4 ,
67,CEP250,centrosomal protein 250 ,CONE-ROD DYSTROPHY AND HEARING LOSS 2
67,NRROS,negative regulator of reactive oxygen species ,SEIZURES EARLY-ONSET WITH NEURODEGENERATION AND BRAIN CALCIFICATIONS
67,RTL3,retrotransposon Gag like 3 ,
67,HDAC1,histone deacetylase 1 ,
67,ERVV-1,"""endogenous retrovirus group V member 1"," envelope [Source:HGNC Symbol;Acc:HGNC:26501]"""
67,SLC41A1,solute carrier family 41 member 1 ,
67,SLC6A2,solute carrier family 6 member 2 ,Postural orthostatic tachycardia syndrome due to NET deficiency
67,CNTF,ciliary neurotrophic factor ,
67,ELFN2,extracellular leucine rich repeat and fibronectin type III domain containing 2 ,
67,CNTNAP1,contactin associated protein 1 ,Hypomyelination neuropathy-arthrogryposis syndrome
67,SLC7A8,solute carrier family 7 member 8 ,
67,RNF130,ring finger protein 130 ,
67,RAB3C,"""RAB3C"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30269]"""
67,TSC22D3,TSC22 domain family member 3 ,
67,DDHD1,DDHD domain containing 1 ,Autosomal recessive spastic paraplegia type 28
67,IGSF8,immunoglobulin superfamily member 8 ,
67,ZADH2,zinc binding alcohol dehydrogenase domain containing 2 ,
67,ACVR2B,activin A receptor type 2B ,Situs ambiguus
67,HFE,homeostatic iron regulator ,Familial porphyria cutanea tarda
67,METTL14,methyltransferase like 14 ,
67,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6 ,
67,KLRG2,killer cell lectin like receptor G2 ,
67,ANO7,anoctamin 7 ,
67,SLC25A22,solute carrier family 25 member 22 ,Early infantile epileptic encephalopathy
67,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1 ,Familial atrial fibrillation
67,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2 ,
67,EMID1,EMI domain containing 1 ,
67,SLC44A1,solute carrier family 44 member 1 ,NEURODEGENERATION CHILDHOOD-ONSET WITH ATAXIA TREMOR OPTIC ATROPHY AND COGNITIVE DECLINE
67,C1orf74,chromosome 1 open reading frame 74 ,
67,,"""novel transcript"," TSTD1 - F11R readthrough"""
67,WNT3A,Wnt family member 3A ,Idiopathic juvenile osteoporosis
67,SETX,senataxin ,Amyotrophic lateral sclerosis type 4
67,RFX5,regulatory factor X5 ,Immunodeficiency by defective expression of MHC class II
67,RGS16,regulator of G protein signaling 16 ,
67,NLGN4X,neuroligin 4 X-linked ,NON RARE IN EUROPE: Asperger syndrome
67,ARPC4,actin related protein 2/3 complex subunit 4 ,
67,,novel protein,
67,FAM168A,family with sequence similarity 168 member A ,
67,AKAP1,A-kinase anchoring protein 1 ,
67,FUS,FUS RNA binding protein ,Amyotrophic lateral sclerosis
67,WRAP73,"""WD repeat containing"," antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]"""
67,C7orf26,chromosome 7 open reading frame 26 ,
67,MGRN1,mahogunin ring finger 1 ,
67,DUS4L-BCAP29,DUS4L-BCAP29 readthrough ,
67,NAV1,neuron navigator 1 ,
67,GUSB,glucuronidase beta ,Mucopolysaccharidosis type 7
67,ZFYVE28,zinc finger FYVE-type containing 28 ,
67,PLIN1,perilipin 1 ,PLIN1-related familial partial lipodystrophy
67,SOBP,sine oculis binding protein homolog ,Anterior maxillary protrusion-strabismus-intellectual disability syndrome
67,CAMTA1,calmodulin binding transcription activator 1 ,Epithelioid hemangioendothelioma
67,POC1B-GALNT4,POC1B-GALNT4 readthrough ,
67,FAM136A,family with sequence similarity 136 member A ,
67,CEP97,centrosomal protein 97 ,
67,SRD5A1,steroid 5 alpha-reductase 1 ,
67,EGLN1,egl-9 family hypoxia inducible factor 1 ,Autosomal dominant secondary polycythemia
67,CBWD2,COBW domain containing 2 ,
67,WASF3,WASP family member 3 ,
67,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha ,
67,TMEM267,transmembrane protein 267 ,
67,VIPR1,vasoactive intestinal peptide receptor 1 ,
67,LIN28B,lin-28 homolog B ,Neuroblastoma
67,CCDC8,coiled-coil domain containing 8 ,3M syndrome
67,KREMEN1,kringle containing transmembrane protein 1 ,ECTODERMAL DYSPLASIA 13 HAIR/TOOTH TYPE
67,KLHDC8B,kelch domain containing 8B ,Classic Hodgkin lymphoma nodular sclerosis type
67,SHISA6,shisa family member 6 ,
67,XKR7,XK related 7 ,
67,MLLT1,MLLT1 super elongation complex subunit ,
67,MEPCE,methylphosphate capping enzyme ,
67,MPP6,membrane palmitoylated protein 6 ,
67,ST8SIA1,"""ST8 alpha-N-acetyl-neuraminide alpha-2","8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]"""
67,SHOC2,SHOC2 leucine rich repeat scaffold protein ,NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR
67,TRPV3,transient receptor potential cation channel subfamily V member 3 ,Isolated focal non-epidermolytic palmoplantar keratoderma
67,WTIP,WT1 interacting protein ,
67,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14 ,
67,GNS,glucosamine (N-acetyl)-6-sulfatase ,Sanfilippo syndrome type D
67,PLEKHH1,"""pleckstrin homology"," MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]"""
67,ZNF862,zinc finger protein 862 ,
67,CACYBP,calcyclin binding protein ,
67,PHF24,PHD finger protein 24 ,
67,ZNF664,zinc finger protein 664 ,
67,SLC38A1,solute carrier family 38 member 1 ,
67,IFNAR2,interferon alpha and beta receptor subunit 2 ,Primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection
67,STING1,stimulator of interferon response cGAMP interactor 1 ,Familial Chilblain lupus
67,TMEM94,transmembrane protein 94 ,TMEM94-associated congenital heart defect-facial dysmorphism-developmental delay syndrome
66,OPCML,opioid binding protein/cell adhesion molecule like ,OVARIAN CANCER OVARIAN CANCER EPITHELIAL INCLUDED
66,SNX22,sorting nexin 22 ,
66,ACTC1,actin alpha cardiac muscle 1 ,Atrial septal defect ostium secundum type
66,RAB22A,"""RAB22A"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]"""
66,SLC44A3,solute carrier family 44 member 3 ,
66,PFKFB4,"""6-phosphofructo-2-kinase/fructose-2","6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]"""
66,VSIR,V-set immunoregulatory receptor ,
66,CD164L2,CD164 molecule like 2 ,
66,AKT2,AKT serine/threonine kinase 2 ,AKT2-related familial partial lipodystrophy
66,TACR1,tachykinin receptor 1 ,
66,CD59,CD59 molecule (CD59 blood group) ,Primary CD59 deficiency
66,TRPV4,transient receptor potential cation channel subfamily V member 4 ,Autosomal dominant Charcot-Marie-Tooth disease type 2C
66,HAS3,hyaluronan synthase 3 ,
66,ATCAY,ATCAY kinesin light chain interacting caytaxin ,CEREBELLAR ATAXIA CAYMAN TYPE
66,CACNA1C,calcium voltage-gated channel subunit alpha1 C ,Brugada syndrome
66,SMPD3,sphingomyelin phosphodiesterase 3 ,
66,SFXN5,sideroflexin 5 ,
66,SLC11A1,solute carrier family 11 member 1 ,Tuberculosis
66,SPTBN1,"""spectrin beta"," non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]"""
66,MROH9,maestro heat like repeat family member 9 ,
66,TBC1D4,TBC1 domain family member 4 ,TYPE 2 DIABETES 5
66,TYSND1,trypsin like peroxisomal matrix peptidase 1 ,
66,GAP43,growth associated protein 43 ,
66,PCSK7,proprotein convertase subtilisin/kexin type 7 ,
66,CD209,CD209 molecule ,DENGUE VIRUS SUSCEPTIBILITY TO DENGUE FEVER SUSCEPTIBILITY TO INCLUDED
66,PEX5L,peroxisomal biogenesis factor 5 like ,
66,CARD6,caspase recruitment domain family member 6 ,
66,CRELD1,cysteine rich with EGF like domains 1 ,Complete atrioventricular septal defect with ventricular hypoplasia
66,,novel protein,
66,CECR2,CECR2 histone acetyl-lysine reader ,
66,GPATCH8,G-patch domain containing 8 ,
66,KLHL20,kelch like family member 20 ,
66,MAX,MYC associated factor X ,Hereditary pheochromocytoma-paraganglioma
66,POU2F2,POU class 2 homeobox 2 ,
66,PDP2,pyruvate dehyrogenase phosphatase catalytic subunit 2 ,
66,STON1,stonin 1 ,
66,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70 ,
66,AURKC,aurora kinase C ,Male infertility due to large-headed multiflagellar polyploid spermatozoa
66,USP42,ubiquitin specific peptidase 42 ,
66,U2AF2,U2 small nuclear RNA auxiliary factor 2 ,U2AF2-related developmental disorder monoallelic
66,CHRD,chordin ,
66,SNTG2,syntrophin gamma 2 ,
66,UAP1L1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1 ,
66,GZF1,GDNF inducible zinc finger protein 1 ,Severe myopia-generalized joint laxity-short stature syndrome
66,SOX6,SRY-box transcription factor 6 ,TOLCHIN-LE CAIGNEC SYNDROME
66,SLC12A6,solute carrier family 12 member 6 ,Corpus callosum agenesis-neuronopathy syndrome
66,FARSA,phenylalanyl-tRNA synthetase subunit alpha ,RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 2
66,HDAC9,histone deacetylase 9 ,
66,KIAA0586,KIAA0586 ,Joubert Syndrome
66,ZFP3,ZFP3 zinc finger protein ,
66,PPP1R3G,protein phosphatase 1 regulatory subunit 3G ,
66,GABRE,gamma-aminobutyric acid type A receptor subunit epsilon ,
66,NLRP2B,NLR family pyrin domain containing 2B ,
66,RBM15B,RNA binding motif protein 15B ,
66,GRID1,glutamate ionotropic receptor delta type subunit 1 ,
66,CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4 ,JALILI SYNDROME
66,SHF,Src homology 2 domain containing F ,
66,TMEM106B,transmembrane protein 106B ,Behavioral variant of frontotemporal dementia
66,COX7C,cytochrome c oxidase subunit 7C ,
66,,novel transcript,
66,IGHD,immunoglobulin heavy constant delta ,
66,MTMR9,myotubularin related protein 9 ,
66,YPEL2,yippee like 2 ,
66,TM4SF1,transmembrane 4 L six family member 1 ,
66,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 ,
66,AKAP5,A-kinase anchoring protein 5 ,
66,C8orf58,chromosome 8 open reading frame 58 ,
66,FRY,FRY microtubule binding protein ,Autosomal Recessive Mental Retardation
66,TRIM71,tripartite motif containing 71 ,Congenital communicating hydrocephalus
66,,novel protein,
66,SERPINB8,serpin family B member 8 ,Exfoliative ichthyosis
66,TMEM14B,transmembrane protein 14B ,
66,SFMBT1,Scm like with four mbt domains 1 ,
66,IL12RB1,interleukin 12 receptor subunit beta 1 ,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency
66,ZNF593OS,ZNF593 opposite strand ,
66,FBXO31,F-box protein 31 ,Autosomal recessive non-syndromic intellectual disability
66,PON3,paraoxonase 3 ,Amyotrophic lateral sclerosis
66,VCL,vinculin ,Familial isolated dilated cardiomyopathy
66,SCN8A,sodium voltage-gated channel alpha subunit 8 ,Benign familial infantile epilepsy
66,HDAC4,histone deacetylase 4 ,2q37 microdeletion syndrome
66,C17orf50,chromosome 17 open reading frame 50 ,
66,CCNF,cyclin F ,Amyotrophic lateral sclerosis
66,NR5A1,nuclear receptor subfamily 5 group A member 1 ,46XX gonadal dysgenesis
66,DIAPH1,diaphanous related formin 1 ,DIAPH1-related sensorineural hearing loss-thrombocytopenia syndrome
66,TMEM245,transmembrane protein 245 ,
66,SH3RF2,SH3 domain containing ring finger 2 ,
66,LLCFC1,LLLL and CFNLAS motif containing 1 ,
66,NUGGC,"""nuclear GTPase"," germinal center associated [Source:HGNC Symbol;Acc:HGNC:33550]"""
66,POLR2D,RNA polymerase II subunit D ,
66,HTT,huntingtin ,HUNTINGTON DISEASE
66,DLST,dihydrolipoamide S-succinyltransferase ,Hereditary pheochromocytoma-paraganglioma
66,FIBCD1,fibrinogen C domain containing 1 ,
66,SUMO2,small ubiquitin like modifier 2 ,
66,SMAD4,SMAD family member 4 ,Familial pancreatic carcinoma
66,NCBP3,nuclear cap binding subunit 3 ,
66,CADM3,cell adhesion molecule 3 ,
66,VAT1L,vesicle amine transport 1 like ,
66,KCNQ2,potassium voltage-gated channel subfamily Q member 2 ,Benign familial infantile epilepsy
66,ASTN1,astrotactin 1 ,
66,CTNNA2,catenin alpha 2 ,CORTICAL DYSPLASIA COMPLEX WITH OTHER BRAIN MALFORMATIONS 9
66,CMTM7,CKLF like MARVEL transmembrane domain containing 7 ,
66,CAMK2D,calcium/calmodulin dependent protein kinase II delta ,
66,UNKL,unk like zinc finger ,
66,ZSCAN31,zinc finger and SCAN domain containing 31 ,
66,TRIM65,tripartite motif containing 65 ,
66,EIF4E3,eukaryotic translation initiation factor 4E family member 3 ,
66,HEY1,hes related family bHLH transcription factor with YRPW motif 1 ,
66,ZNF689,zinc finger protein 689 ,
66,ATXN3L,ataxin 3 like ,
66,HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3 ,
66,TNFAIP3,TNF alpha induced protein 3 ,Hereditary pediatric Behcet-like disease
66,CCL15-CCL14,CCL15-CCL14 readthrough (NMD candidate) ,
66,ZFAND2B,zinc finger AN1-type containing 2B ,
66,ROBO2,roundabout guidance receptor 2 ,Familial vesicoureteral reflux
66,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q ,Early infantile epileptic encephalopathy
66,DENND11,DENN domain containing 11 ,
66,CCDC169,coiled-coil domain containing 169 ,
66,ZNF155,zinc finger protein 155 ,
66,SOX12,SRY-box transcription factor 12 ,
66,FASTKD3,FAST kinase domains 3 ,
66,SLC5A11,solute carrier family 5 member 11 ,
66,REPIN1,replication initiator 1 ,
66,DUOX1,dual oxidase 1 ,
66,NDRG1,N-myc downstream regulated 1 ,Charcot-Marie-Tooth disease type 4D
66,THEM6,thioesterase superfamily member 6 ,
66,METAP2,methionyl aminopeptidase 2 ,
66,SLC7A14,solute carrier family 7 member 14 ,Retinitis pigmentosa
66,RBPJ,recombination signal binding protein for immunoglobulin kappa J region ,Adams-Oliver syndrome
66,FBXO40,F-box protein 40 ,
66,RHOBTB2,Rho related BTB domain containing 2 ,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 64
65,MPZL1,myelin protein zero like 1 ,
65,ZSCAN25,zinc finger and SCAN domain containing 25 ,
65,XRRA1,X-ray radiation resistance associated 1 ,
65,TMEM231,transmembrane protein 231 ,Joubert syndrome with oculorenal defect
65,KLHDC7B,kelch domain containing 7B ,
65,ARL15,ADP ribosylation factor like GTPase 15 ,
65,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2 ,Isolated complex I deficiency
65,SKP1,S-phase kinase associated protein 1 ,
65,NR2C2,nuclear receptor subfamily 2 group C member 2 ,
65,CYP11B2,cytochrome P450 family 11 subfamily B member 2 ,Familial hyperaldosteronism type I
65,PCDHA3,protocadherin alpha 3 ,
65,ZNF470,zinc finger protein 470 ,
65,CYB561A3,cytochrome b561 family member A3 ,
65,SHPRH,SNF2 histone linker PHD RING helicase ,
65,PRDM9,PR/SET domain 9 ,
65,MAP3K13,mitogen-activated protein kinase kinase kinase 13 ,
65,TMEM170B,transmembrane protein 170B ,
65,PCDHA8,protocadherin alpha 8 ,
65,GPRIN3,GPRIN family member 3 ,
65,LHFPL3,LHFPL tetraspan subfamily member 3 ,
65,SPATA6L,spermatogenesis associated 6 like ,
65,CD93,CD93 molecule ,
65,PCDHA5,protocadherin alpha 5 ,
65,SRD5A2,steroid 5 alpha-reductase 2 ,46XY disorder of sex development due to 5-alpha-reductase 2 deficiency
65,HIRIP3,HIRA interacting protein 3 ,
65,SOCS7,suppressor of cytokine signaling 7 ,
65,MAP2K3,mitogen-activated protein kinase kinase 3 ,
65,GRM1,glutamate metabotropic receptor 1 ,Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency
65,TDRKH,tudor and KH domain containing ,
65,MRPL21,mitochondrial ribosomal protein L21 ,
65,PCDHA7,protocadherin alpha 7 ,
65,SORD,sorbitol dehydrogenase ,SORBITOL DEHYDROGENASE DEFICIENCY WITH PERIPHERAL NEUROPATHY
65,RFC4,replication factor C subunit 4 ,
65,SLIT1,slit guidance ligand 1 ,
65,DNAAF5,dynein axonemal assembly factor 5 ,Primary ciliary dyskinesia
65,STRAP,serine/threonine kinase receptor associated protein ,
65,OR51E1,olfactory receptor family 51 subfamily E member 1 ,
65,ELOA,elongin A ,
65,TGS1,trimethylguanosine synthase 1 ,
65,CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6 ,
65,PCDHA11,protocadherin alpha 11 ,
65,RNF169,ring finger protein 169 ,
65,MUC22,mucin 22 ,
65,PCDHA2,protocadherin alpha 2 ,
65,SSBP2,single stranded DNA binding protein 2 ,
65,SMG1,SMG1 nonsense mediated mRNA decay associated PI3K related kinase ,
65,CPEB1,cytoplasmic polyadenylation element binding protein 1 ,
65,PAX8,paired box 8 ,Athyreosis
65,SYTL2,synaptotagmin like 2 ,
65,ANK3,ankyrin 3 ,ANK3-related intellectual disability-sleep disturbance syndrome
65,PBX3,PBX homeobox 3 ,
65,AIPL1,aryl hydrocarbon receptor interacting protein like 1 ,Cone rod dystrophy
65,DENND6B,DENN domain containing 6B ,
65,WDR92,WD repeat domain 92 ,
65,PCYOX1L,prenylcysteine oxidase 1 like ,
65,PDPK1,3-phosphoinositide dependent protein kinase 1 ,
65,HABP2,hyaluronan binding protein 2 ,Familial papillary or follicular thyroid carcinoma
65,DTNA,dystrobrevin alpha ,Left ventricular noncompaction
65,ARL10,ADP ribosylation factor like GTPase 10 ,
65,PIGP,phosphatidylinositol glycan anchor biosynthesis class P ,Early infantile epileptic encephalopathy
65,RNF165,ring finger protein 165 ,
65,ZNF264,zinc finger protein 264 ,
65,SNTB1,syntrophin beta 1 ,
65,TOP2A,DNA topoisomerase II alpha ,Neuroblastoma
65,KNOP1,lysine rich nucleolar protein 1 ,
65,ADGRF5,adhesion G protein-coupled receptor F5 ,
65,PCBD2,pterin-4 alpha-carbinolamine dehydratase 2 ,
65,TSPAN6,tetraspanin 6 ,
65,MRRF,mitochondrial ribosome recycling factor ,
65,MYADM,myeloid associated differentiation marker ,
65,NECTIN1,nectin cell adhesion molecule 1 ,Cleft lip and alveolus
65,PUM2,pumilio RNA binding family member 2 ,
65,PLPPR4,phospholipid phosphatase related 4 ,
65,RHBDD3,rhomboid domain containing 3 ,
65,PADI1,peptidyl arginine deiminase 1 ,
65,CBL,Cbl proto-oncogene ,Aggressive systemic mastocytosis
65,CACNA1G,calcium voltage-gated channel subunit alpha1 G ,Spinocerebellar ataxia type 42
65,,novel protein,
65,FNIP2,folliculin interacting protein 2 ,
65,GRAMD2A,GRAM domain containing 2A ,
65,TET3,tet methylcytosine dioxygenase 3 ,BECK-FAHRNER SYNDROME
65,CERT1,ceramide transporter 1 ,MENTAL RETARDATION AUTOSOMAL DOMINANT 34
65,IER5,immediate early response 5 ,
65,BCAS1,brain enriched myelin associated protein 1 ,
65,TNS1,tensin 1 ,
65,PLEKHA7,pleckstrin homology domain containing A7 ,
65,SLX4IP,SLX4 interacting protein ,
65,TMEM129,"""transmembrane protein 129"," E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:25137]"""
65,VANGL2,VANGL planar cell polarity protein 2 ,Cervical spina bifida aperta
65,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0 ,
65,PSMB5,proteasome 20S subunit beta 5 ,
65,PARP15,poly(ADP-ribose) polymerase family member 15 ,
65,POLR2M,RNA polymerase II subunit M ,
65,STK40,serine/threonine kinase 40 ,
65,FAM189B,family with sequence similarity 189 member B ,
65,SRXN1,sulfiredoxin 1 ,
65,SLC29A4,solute carrier family 29 member 4 ,
65,OTX1,orthodenticle homeobox 1 ,
65,HELB,DNA helicase B ,
65,C1orf21,chromosome 1 open reading frame 21 ,
65,RNPEPL1,arginyl aminopeptidase like 1 ,
65,USP3,ubiquitin specific peptidase 3 ,
65,ANTXR1,ANTXR cell adhesion molecule 1 ,GAPO syndrome
65,GLIPR1L2,GLIPR1 like 2 ,
65,FHL2,four and a half LIM domains 2 ,Familial isolated dilated cardiomyopathy
65,MFSD5,major facilitator superfamily domain containing 5 ,
65,SLC35F6,solute carrier family 35 member F6 ,
